Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/12/2023,01/01/2020,01/31/2020,By Month,2020,1,United States,All Sexes,All Ages,6,264677,17909,3,2125,20037,
07/12/2023,02/01/2020,02/29/2020,By Month,2020,2,United States,All Sexes,All Ages,25,244951,15740,10,2373,18127,
07/12/2023,03/01/2020,03/31/2020,By Month,2020,3,United States,All Sexes,All Ages,7174,269807,22479,3344,2437,28618,
07/12/2023,04/01/2020,04/30/2020,By Month,2020,4,United States,All Sexes,All Ages,65550,322414,46427,28399,1237,84003,
07/12/2023,05/01/2020,05/31/2020,By Month,2020,5,United States,All Sexes,All Ages,38329,280562,29010,15927,126,51518,
07/12/2023,06/01/2020,06/30/2020,By Month,2020,6,United States,All Sexes,All Ages,18026,250441,19294,7661,40,29694,
07/12/2023,07/01/2020,07/31/2020,By Month,2020,7,United States,All Sexes,All Ages,31135,279008,27121,14903,50,43385,
07/12/2023,08/01/2020,08/31/2020,By Month,2020,8,United States,All Sexes,All Ages,29911,277288,27358,15116,43,42178,
07/12/2023,09/01/2020,09/30/2020,By Month,2020,9,United States,All Sexes,All Ages,19158,257191,21130,9377,28,30934,
07/12/2023,10/01/2020,10/31/2020,By Month,2020,10,United States,All Sexes,All Ages,24930,273912,24327,11734,69,37570,
07/12/2023,11/01/2020,11/30/2020,By Month,2020,11,United States,All Sexes,All Ages,53248,302585,38299,25288,103,66320,
07/12/2023,12/01/2020,12/31/2020,By Month,2020,12,United States,All Sexes,All Ages,98174,367203,62916,48324,156,112842,
07/12/2023,01/01/2021,01/31/2021,By Month,2021,1,United States,All Sexes,All Ages,105565,373641,69849,55416,144,120079,
07/12/2023,02/01/2021,02/28/2021,By Month,2021,2,United States,All Sexes,All Ages,48570,282558,38081,26128,90,60580,
07/12/2023,03/01/2021,03/31/2021,By Month,2021,3,United States,All Sexes,All Ages,23265,271042,24618,12252,66,35682,
07/12/2023,04/01/2021,04/30/2021,By Month,2021,4,United States,All Sexes,All Ages,18805,257056,21305,9884,47,30262,
07/12/2023,05/01/2021,05/31/2021,By Month,2021,5,United States,All Sexes,All Ages,14989,258356,19477,8193,35,26297,
07/12/2023,06/01/2021,06/30/2021,By Month,2021,6,United States,All Sexes,All Ages,8024,245264,15624,4361,36,19316,
07/12/2023,07/01/2021,07/31/2021,By Month,2021,7,United States,All Sexes,All Ages,11222,257940,18262,6257,32,23252,
07/12/2023,08/01/2021,08/31/2021,By Month,2021,8,United States,All Sexes,All Ages,48821,304046,41895,29176,61,61572,
07/12/2023,09/01/2021,09/30/2021,By Month,2021,9,United States,All Sexes,All Ages,63443,312506,51084,38293,86,76293,
07/12/2023,10/01/2021,10/31/2021,By Month,2021,10,United States,All Sexes,All Ages,42606,300231,38647,25391,65,55911,
07/12/2023,11/01/2021,11/30/2021,By Month,2021,11,United States,All Sexes,All Ages,32329,289086,31969,18378,77,45980,
07/12/2023,12/01/2021,12/31/2021,By Month,2021,12,United States,All Sexes,All Ages,45623,320033,41193,25883,353,61249,
07/12/2023,01/01/2022,01/31/2022,By Month,2022,1,United States,All Sexes,All Ages,83995,370061,59459,43690,628,100241,
07/12/2023,02/01/2022,02/28/2022,By Month,2022,2,United States,All Sexes,All Ages,50240,290100,38742,26275,294,62911,
07/12/2023,03/01/2022,03/31/2022,By Month,2022,3,United States,All Sexes,All Ages,15623,268503,20037,7246,318,28698,
07/12/2023,04/01/2022,04/30/2022,By Month,2022,4,United States,All Sexes,All Ages,6264,246390,14440,2243,407,18839,
07/12/2023,05/01/2022,05/31/2022,By Month,2022,5,United States,All Sexes,All Ages,7633,255077,15054,2528,387,20520,
07/12/2023,06/01/2022,06/30/2022,By Month,2022,6,United States,All Sexes,All Ages,9536,248972,15141,3334,267,21586,
07/12/2023,07/01/2022,07/31/2022,By Month,2022,7,United States,All Sexes,All Ages,13391,260950,16401,4570,110,25312,
07/12/2023,08/01/2022,08/31/2022,By Month,2022,8,United States,All Sexes,All Ages,14133,259718,16619,4966,68,25838,
07/12/2023,09/01/2022,09/30/2022,By Month,2022,9,United States,All Sexes,All Ages,11121,251589,15413,3774,80,22825,
07/12/2023,10/01/2022,10/31/2022,By Month,2022,10,United States,All Sexes,All Ages,9713,265651,16181,3232,279,22923,
07/12/2023,11/01/2022,11/30/2022,By Month,2022,11,United States,All Sexes,All Ages,10030,268747,17485,3386,1455,25507,
07/12/2023,12/01/2022,12/31/2022,By Month,2022,12,United States,All Sexes,All Ages,14369,301156,22454,5099,4459,35925,
07/12/2023,01/01/2023,01/31/2023,By Month,2023,1,United States,All Sexes,All Ages,14826,289043,22172,5595,2233,33469,
07/12/2023,02/01/2023,02/28/2023,By Month,2023,2,United States,All Sexes,All Ages,8952,248652,16798,3312,421,22810,
07/12/2023,03/01/2023,03/31/2023,By Month,2023,3,United States,All Sexes,All Ages,7531,268034,16991,2676,238,22055,
07/12/2023,04/01/2023,04/30/2023,By Month,2023,4,United States,All Sexes,All Ages,5092,250230,15296,1838,173,18706,
07/12/2023,05/01/2023,05/31/2023,By Month,2023,5,United States,All Sexes,All Ages,3447,247262,14081,1276,152,16391,
07/12/2023,06/01/2023,06/30/2023,By Month,2023,6,United States,All Sexes,All Ages,2170,200996,10912,768,96,12404,
07/12/2023,07/01/2023,07/08/2023,By Month,2023,7,United States,All Sexes,All Ages,151,16430,825,58,7,924,
